35040,3,,,
Time,D:\AMI\business_humi.csv,D:\AMI\business_temp.csv,electricity
2015/1/1 00:15,59.0,16.0,301.536
2015/1/1 00:30,59.0,16.0,302.832
2015/1/1 00:45,59.0,16.0,299.376
2015/1/1 01:00,60.0,15.5,288.144
2015/1/1 01:15,60.0,15.5,288.144
2015/1/1 01:30,60.0,15.5,288.144
2015/1/1 01:45,60.0,15.5,281.232
2015/1/1 02:00,59.0,15.3,284.256
2015/1/1 02:15,59.0,15.3,284.688
2015/1/1 02:30,59.0,15.3,264.384
2015/1/1 02:45,59.0,15.3,262.656
2015/1/1 03:00,60.0,14.8,259.2
2015/1/1 03:15,60.0,14.8,257.04
2015/1/1 03:30,60.0,14.8,250.56
2015/1/1 03:45,60.0,14.8,244.512
2015/1/1 04:00,60.0,14.4,238.464
2015/1/1 04:15,60.0,14.4,235.872
2015/1/1 04:30,60.0,14.4,221.184
2015/1/1 04:45,60.0,14.4,219.456
2015/1/1 05:00,60.0,13.9,208.224
2015/1/1 05:15,60.0,13.9,211.68
2015/1/1 05:30,60.0,13.9,209.52
2015/1/1 05:45,60.0,13.9,210.816
2015/1/1 06:00,60.0,13.8,207.36
2015/1/1 06:15,60.0,13.8,200.88
2015/1/1 06:30,60.0,13.8,199.584
2015/1/1 06:45,60.0,13.8,220.752
2015/1/1 07:00,59.0,14.0,210.816
2015/1/1 07:15,59.0,14.0,209.52
2015/1/1 07:30,59.0,14.0,215.136
2015/1/1 07:45,59.0,14.0,239.76
2015/1/1 08:00,57.0,14.0,269.136
2015/1/1 08:15,57.0,14.0,308.016
2015/1/1 08:30,57.0,14.0,308.88
2015/1/1 08:45,57.0,14.0,298.512
2015/1/1 09:00,53.0,14.8,309.312
2015/1/1 09:15,53.0,14.8,352.944
2015/1/1 09:30,53.0,14.8,345.168
2015/1/1 09:45,53.0,14.8,330.048
2015/1/1 10:00,51.0,14.4,345.168
2015/1/1 10:15,51.0,14.4,359.424
2015/1/1 10:30,51.0,14.4,348.192
2015/1/1 10:45,51.0,14.4,323.136
2015/1/1 11:00,51.0,14.3,322.272
2015/1/1 11:15,51.0,14.3,335.664
2015/1/1 11:30,51.0,14.3,336.096
2015/1/1 11:45,51.0,14.3,323.136
2015/1/1 12:00,51.0,14.2,314.928
2015/1/1 12:15,51.0,14.2,342.144
2015/1/1 12:30,51.0,14.2,340.416
2015/1/1 12:45,51.0,14.2,335.664
2015/1/1 13:00,49.0,14.5,330.048
2015/1/1 13:15,49.0,14.5,347.76
2015/1/1 13:30,49.0,14.5,331.776
2015/1/1 13:45,49.0,14.5,334.8
2015/1/1 14:00,52.0,13.4,323.136
2015/1/1 14:15,52.0,13.4,339.552
2015/1/1 14:30,52.0,13.4,329.184
2015/1/1 14:45,52.0,13.4,320.544
2015/1/1 15:00,54.0,12.8,320.112
2015/1/1 15:15,54.0,12.8,336.096
2015/1/1 15:30,54.0,12.8,304.128
2015/1/1 15:45,54.0,12.8,300.24
2015/1/1 16:00,53.0,12.6,304.128
2015/1/1 16:15,53.0,12.6,316.224
2015/1/1 16:30,53.0,12.6,303.696
2015/1/1 16:45,53.0,12.6,294.624
2015/1/1 17:00,56.0,12.4,299.376
2015/1/1 17:15,56.0,12.4,311.904
2015/1/1 17:30,56.0,12.4,308.448
2015/1/1 17:45,56.0,12.4,298.08
2015/1/1 18:00,55.0,12.3,300.672
2015/1/1 18:15,55.0,12.3,308.88
2015/1/1 18:30,55.0,12.3,296.784
2015/1/1 18:45,55.0,12.3,277.776
2015/1/1 19:00,57.0,12.3,281.232
2015/1/1 19:15,57.0,12.3,305.424
2015/1/1 19:30,57.0,12.3,286.416
2015/1/1 19:45,57.0,12.3,275.184
2015/1/1 20:00,58.0,12.4,270.0
2015/1/1 20:15,58.0,12.4,264.816
2015/1/1 20:30,58.0,12.4,268.272
2015/1/1 20:45,58.0,12.4,266.976
2015/1/1 21:00,57.0,12.6,266.976
2015/1/1 21:15,57.0,12.6,273.456
2015/1/1 21:30,57.0,12.6,262.656
2015/1/1 21:45,57.0,12.6,265.248
2015/1/1 22:00,60.0,12.4,256.176
2015/1/1 22:15,60.0,12.4,246.672
2015/1/1 22:30,60.0,12.4,237.168
2015/1/1 22:45,60.0,12.4,235.008
2015/1/1 23:00,60.0,12.4,229.824
2015/1/1 23:15,60.0,12.4,229.824
2015/1/1 23:30,60.0,12.4,222.048
2015/1/1 23:45,60.0,12.4,228.528
2015/1/2 00:00,59.0,12.5,230.256
2015/1/2 00:15,59.0,12.5,215.136
2015/1/2 00:30,59.0,12.5,211.68
2015/1/2 00:45,59.0,12.5,212.112
2015/1/2 01:00,59.0,12.7,210.384
2015/1/2 01:15,59.0,12.7,218.16
2015/1/2 01:30,59.0,12.7,215.136
2015/1/2 01:45,59.0,12.7,206.928
2015/1/2 02:00,61.0,12.6,200.016
2015/1/2 02:15,61.0,12.6,206.064
2015/1/2 02:30,61.0,12.6,203.04
2015/1/2 02:45,61.0,12.6,197.856
2015/1/2 03:00,59.0,12.8,206.064
2015/1/2 03:15,59.0,12.8,208.656
2015/1/2 03:30,59.0,12.8,201.744
2015/1/2 03:45,59.0,12.8,203.04
2015/1/2 04:00,60.0,12.4,205.2
2015/1/2 04:15,60.0,12.4,201.312
2015/1/2 04:30,60.0,12.4,193.104
2015/1/2 04:45,60.0,12.4,202.176
2015/1/2 05:00,58.0,12.6,204.336
2015/1/2 05:15,58.0,12.6,203.04
2015/1/2 05:30,58.0,12.6,198.288
2015/1/2 05:45,58.0,12.6,202.608
2015/1/2 06:00,58.0,12.7,202.176
2015/1/2 06:15,58.0,12.7,194.4
2015/1/2 06:30,58.0,12.7,203.04
2015/1/2 06:45,58.0,12.7,197.856
2015/1/2 07:00,57.0,13.3,196.992
2015/1/2 07:15,57.0,13.3,208.656
2015/1/2 07:30,57.0,13.3,212.976
2015/1/2 07:45,57.0,13.3,227.232
2015/1/2 08:00,56.0,14.4,237.6
2015/1/2 08:15,56.0,14.4,288.576
2015/1/2 08:30,56.0,14.4,282.096
2015/1/2 08:45,56.0,14.4,268.704
2015/1/2 09:00,56.0,15.2,285.12
2015/1/2 09:15,56.0,15.2,311.04
2015/1/2 09:30,56.0,15.2,306.288
2015/1/2 09:45,56.0,15.2,288.576
2015/1/2 10:00,55.0,15.3,283.392
2015/1/2 10:15,55.0,15.3,317.088
2015/1/2 10:30,55.0,15.3,309.312
2015/1/2 10:45,55.0,15.3,286.416
2015/1/2 11:00,52.0,16.2,301.104
2015/1/2 11:15,52.0,16.2,317.088
2015/1/2 11:30,52.0,16.2,320.976
2015/1/2 11:45,52.0,16.2,307.584
2015/1/2 12:00,51.0,16.8,311.04
2015/1/2 12:15,51.0,16.8,336.96
2015/1/2 12:30,51.0,16.8,334.8
2015/1/2 12:45,51.0,16.8,328.32
2015/1/2 13:00,51.0,17.2,340.848
2015/1/2 13:15,51.0,17.2,357.264
2015/1/2 13:30,51.0,17.2,343.872
2015/1/2 13:45,51.0,17.2,334.368
2015/1/2 14:00,53.0,16.6,337.824
2015/1/2 14:15,53.0,16.6,353.808
2015/1/2 14:30,53.0,16.6,349.488
2015/1/2 14:45,53.0,16.6,323.136
2015/1/2 15:00,54.0,15.8,329.616
2015/1/2 15:15,54.0,15.8,356.4
2015/1/2 15:30,54.0,15.8,349.92
2015/1/2 15:45,54.0,15.8,334.368
2015/1/2 16:00,57.0,15.0,329.184
2015/1/2 16:15,57.0,15.0,356.4
2015/1/2 16:30,57.0,15.0,345.6
2015/1/2 16:45,57.0,15.0,328.32
2015/1/2 17:00,59.0,14.5,331.344
2015/1/2 17:15,59.0,14.5,352.08
2015/1/2 17:30,59.0,14.5,336.528
2015/1/2 17:45,59.0,14.5,316.656
2015/1/2 18:00,58.0,14.4,322.704
2015/1/2 18:15,58.0,14.4,329.184
2015/1/2 18:30,58.0,14.4,307.152
2015/1/2 18:45,58.0,14.4,284.256
2015/1/2 19:00,57.0,14.2,280.8
2015/1/2 19:15,57.0,14.2,304.128
2015/1/2 19:30,57.0,14.2,326.16
2015/1/2 19:45,57.0,14.2,276.048
2015/1/2 20:00,57.0,14.1,283.392
2015/1/2 20:15,57.0,14.1,274.32
2015/1/2 20:30,57.0,14.1,273.024
2015/1/2 20:45,57.0,14.1,268.704
2015/1/2 21:00,58.0,13.8,268.272
2015/1/2 21:15,58.0,13.8,271.728
2015/1/2 21:30,58.0,13.8,267.408
2015/1/2 21:45,58.0,13.8,263.52
2015/1/2 22:00,59.0,13.4,254.448
2015/1/2 22:15,59.0,13.4,244.944
2015/1/2 22:30,59.0,13.4,246.672
2015/1/2 22:45,59.0,13.4,236.736
2015/1/2 23:00,61.0,13.1,231.12
2015/1/2 23:15,61.0,13.1,232.848
2015/1/2 23:30,61.0,13.1,226.8
2015/1/2 23:45,61.0,13.1,232.848
2015/1/3 00:00,61.0,13.0,226.8
2015/1/3 00:15,61.0,13.0,226.8
2015/1/3 00:30,61.0,13.0,219.024
2015/1/3 00:45,61.0,13.0,215.136
2015/1/3 01:00,61.0,13.1,209.952
2015/1/3 01:15,61.0,13.1,217.728
2015/1/3 01:30,61.0,13.1,213.84
2015/1/3 01:45,61.0,13.1,202.608
2015/1/3 02:00,62.0,13.2,212.112
2015/1/3 02:15,62.0,13.2,204.768
2015/1/3 02:30,62.0,13.2,198.72
2015/1/3 02:45,62.0,13.2,206.496
2015/1/3 03:00,65.0,12.9,204.336
2015/1/3 03:15,65.0,12.9,202.176
2015/1/3 03:30,65.0,12.9,204.768
2015/1/3 03:45,65.0,12.9,207.792
2015/1/3 04:00,64.0,13.0,203.04
2015/1/3 04:15,64.0,13.0,198.72
2015/1/3 04:30,64.0,13.0,204.768
2015/1/3 04:45,64.0,13.0,202.176
2015/1/3 05:00,63.0,13.3,203.472
2015/1/3 05:15,63.0,13.3,206.496
2015/1/3 05:30,63.0,13.3,203.04
2015/1/3 05:45,63.0,13.3,201.312
2015/1/3 06:00,63.0,13.4,201.312
2015/1/3 06:15,63.0,13.4,207.792
2015/1/3 06:30,63.0,13.4,207.792
2015/1/3 06:45,63.0,13.4,193.968
2015/1/3 07:00,61.0,14.3,203.04
2015/1/3 07:15,61.0,14.3,209.088
2015/1/3 07:30,61.0,14.3,206.064
2015/1/3 07:45,61.0,14.3,212.976
2015/1/3 08:00,60.0,16.2,222.912
2015/1/3 08:15,60.0,16.2,245.808
2015/1/3 08:30,60.0,16.2,238.032
2015/1/3 08:45,60.0,16.2,238.032
2015/1/3 09:00,56.0,18.2,242.784
2015/1/3 09:15,56.0,18.2,260.064
2015/1/3 09:30,56.0,18.2,257.472
2015/1/3 09:45,56.0,18.2,250.992
2015/1/3 10:00,53.0,19.8,250.56
2015/1/3 10:15,53.0,19.8,276.048
2015/1/3 10:30,53.0,19.8,270.0
2015/1/3 10:45,53.0,19.8,258.768
2015/1/3 11:00,48.0,20.5,261.36
2015/1/3 11:15,48.0,20.5,285.12
2015/1/3 11:30,48.0,20.5,279.936
2015/1/3 11:45,48.0,20.5,260.928
2015/1/3 12:00,47.0,20.4,261.792
2015/1/3 12:15,47.0,20.4,290.736
2015/1/3 12:30,47.0,20.4,288.576
2015/1/3 12:45,47.0,20.4,275.184
2015/1/3 13:00,47.0,20.9,278.64
2015/1/3 13:15,47.0,20.9,300.24
2015/1/3 13:30,47.0,20.9,286.848
2015/1/3 13:45,47.0,20.9,292.896
2015/1/3 14:00,47.0,20.7,302.832
2015/1/3 14:15,47.0,20.7,329.184
2015/1/3 14:30,47.0,20.7,314.496
2015/1/3 14:45,47.0,20.7,309.312
2015/1/3 15:00,51.0,19.9,321.408
2015/1/3 15:15,51.0,19.9,355.968
2015/1/3 15:30,51.0,19.9,342.576
2015/1/3 15:45,51.0,19.9,333.072
2015/1/3 16:00,55.0,18.4,355.104
2015/1/3 16:15,55.0,18.4,388.368
2015/1/3 16:30,55.0,18.4,369.36
2015/1/3 16:45,55.0,18.4,362.016
2015/1/3 17:00,58.0,17.7,349.92
2015/1/3 17:15,58.0,17.7,375.84
2015/1/3 17:30,58.0,17.7,365.04
2015/1/3 17:45,58.0,17.7,355.104
2015/1/3 18:00,60.0,17.5,350.352
2015/1/3 18:15,60.0,17.5,369.792
2015/1/3 18:30,60.0,17.5,364.176
2015/1/3 18:45,60.0,17.5,335.232
2015/1/3 19:00,62.0,17.1,330.048
2015/1/3 19:15,62.0,17.1,342.576
2015/1/3 19:30,62.0,17.1,342.576
2015/1/3 19:45,62.0,17.1,328.32
2015/1/3 20:00,65.0,16.5,309.312
2015/1/3 20:15,65.0,16.5,297.648
2015/1/3 20:30,65.0,16.5,286.848
2015/1/3 20:45,65.0,16.5,292.032
2015/1/3 21:00,67.0,16.2,282.096
2015/1/3 21:15,67.0,16.2,293.76
2015/1/3 21:30,67.0,16.2,284.256
2015/1/3 21:45,67.0,16.2,285.12
2015/1/3 22:00,71.0,15.3,270.432
2015/1/3 22:15,71.0,15.3,278.64
2015/1/3 22:30,71.0,15.3,266.544
2015/1/3 22:45,71.0,15.3,259.632
2015/1/3 23:00,73.0,14.9,254.448
2015/1/3 23:15,73.0,14.9,249.696
2015/1/3 23:30,73.0,14.9,250.128
2015/1/3 23:45,73.0,14.9,240.624
2015/1/4 00:00,70.0,15.0,238.896
2015/1/4 00:15,70.0,15.0,225.504
2015/1/4 00:30,70.0,15.0,229.824
2015/1/4 00:45,70.0,15.0,228.96
2015/1/4 01:00,71.0,14.5,231.552
2015/1/4 01:15,71.0,14.5,228.96
2015/1/4 01:30,71.0,14.5,232.416
2015/1/4 01:45,71.0,14.5,228.528
2015/1/4 02:00,73.0,13.8,218.16
2015/1/4 02:15,73.0,13.8,207.36
2015/1/4 02:30,73.0,13.8,213.84
2015/1/4 02:45,73.0,13.8,211.248
2015/1/4 03:00,71.0,14.1,206.496
2015/1/4 03:15,71.0,14.1,211.248
2015/1/4 03:30,71.0,14.1,208.224
2015/1/4 03:45,71.0,14.1,210.384
2015/1/4 04:00,75.0,13.3,205.632
2015/1/4 04:15,75.0,13.3,205.2
2015/1/4 04:30,75.0,13.3,205.632
2015/1/4 04:45,75.0,13.3,205.2
2015/1/4 05:00,74.0,13.7,203.472
2015/1/4 05:15,74.0,13.7,207.792
2015/1/4 05:30,74.0,13.7,205.632
2015/1/4 05:45,74.0,13.7,206.064
2015/1/4 06:00,75.0,13.5,196.128
2015/1/4 06:15,75.0,13.5,207.792
2015/1/4 06:30,75.0,13.5,209.52
2015/1/4 06:45,75.0,13.5,200.016
2015/1/4 07:00,71.0,14.4,205.632
2015/1/4 07:15,71.0,14.4,214.272
2015/1/4 07:30,71.0,14.4,211.248
2015/1/4 07:45,71.0,14.4,209.952
2015/1/4 08:00,67.0,16.8,213.408
2015/1/4 08:15,67.0,16.8,259.632
2015/1/4 08:30,67.0,16.8,246.672
2015/1/4 08:45,67.0,16.8,223.344
2015/1/4 09:00,59.0,18.9,231.552
2015/1/4 09:15,59.0,18.9,255.744
2015/1/4 09:30,59.0,18.9,259.632
2015/1/4 09:45,59.0,18.9,240.624
2015/1/4 10:00,54.0,20.7,239.328
2015/1/4 10:15,54.0,20.7,273.888
2015/1/4 10:30,54.0,20.7,259.632
2015/1/4 10:45,54.0,20.7,244.08
2015/1/4 11:00,45.0,22.0,245.808
2015/1/4 11:15,45.0,22.0,288.576
2015/1/4 11:30,45.0,22.0,293.76
2015/1/4 11:45,45.0,22.0,273.456
2015/1/4 12:00,51.0,22.1,278.64
2015/1/4 12:15,51.0,22.1,306.288
2015/1/4 12:30,51.0,22.1,304.56
2015/1/4 12:45,51.0,22.1,288.144
2015/1/4 13:00,55.0,22.4,292.464
2015/1/4 13:15,55.0,22.4,349.056
2015/1/4 13:30,55.0,22.4,368.064
2015/1/4 13:45,55.0,22.4,335.232
2015/1/4 14:00,57.0,22.3,330.048
2015/1/4 14:15,57.0,22.3,349.92
2015/1/4 14:30,57.0,22.3,353.376
2015/1/4 14:45,57.0,22.3,366.768
2015/1/4 15:00,63.0,20.9,374.112
2015/1/4 15:15,63.0,20.9,376.704
2015/1/4 15:30,63.0,20.9,360.72
2015/1/4 15:45,63.0,20.9,336.096
2015/1/4 16:00,68.0,19.5,326.592
2015/1/4 16:15,68.0,19.5,354.24
2015/1/4 16:30,68.0,19.5,337.824
2015/1/4 16:45,68.0,19.5,300.24
2015/1/4 17:00,72.0,18.9,288.144
2015/1/4 17:15,72.0,18.9,343.008
2015/1/4 17:30,72.0,18.9,345.168
2015/1/4 17:45,72.0,18.9,324.864
2015/1/4 18:00,75.0,17.9,337.392
2015/1/4 18:15,75.0,17.9,367.2
2015/1/4 18:30,75.0,17.9,357.264
2015/1/4 18:45,75.0,17.9,294.192
2015/1/4 19:00,76.0,17.6,272.16
2015/1/4 19:15,76.0,17.6,290.736
2015/1/4 19:30,76.0,17.6,277.344
2015/1/4 19:45,76.0,17.6,262.656
2015/1/4 20:00,78.0,17.2,266.544
2015/1/4 20:15,78.0,17.2,269.568
2015/1/4 20:30,78.0,17.2,267.408
2015/1/4 20:45,78.0,17.2,261.36
2015/1/4 21:00,79.0,16.8,259.2
2015/1/4 21:15,79.0,16.8,265.68
2015/1/4 21:30,79.0,16.8,258.768
2015/1/4 21:45,79.0,16.8,250.56
2015/1/4 22:00,81.0,16.2,251.856
2015/1/4 22:15,81.0,16.2,251.424
2015/1/4 22:30,81.0,16.2,253.584
2015/1/4 22:45,81.0,16.2,245.376
2015/1/4 23:00,83.0,15.6,243.648
2015/1/4 23:15,83.0,15.6,248.832
2015/1/4 23:30,83.0,15.6,246.672
2015/1/4 23:45,83.0,15.6,247.104
2015/1/5 00:00,84.0,15.2,243.648
2015/1/5 00:15,84.0,15.2,233.28
2015/1/5 00:30,84.0,15.2,228.096
2015/1/5 00:45,84.0,15.2,228.528
2015/1/5 01:00,86.0,14.7,228.528
2015/1/5 01:15,86.0,14.7,228.528
2015/1/5 01:30,86.0,14.7,216.864
2015/1/5 01:45,86.0,14.7,212.976
2015/1/5 02:00,86.0,14.6,206.928
2015/1/5 02:15,86.0,14.6,207.36
2015/1/5 02:30,86.0,14.6,204.336
2015/1/5 02:45,86.0,14.6,204.768
2015/1/5 03:00,86.0,14.3,201.312
2015/1/5 03:15,86.0,14.3,207.36
2015/1/5 03:30,86.0,14.3,206.064
2015/1/5 03:45,86.0,14.3,206.496
2015/1/5 04:00,85.0,14.4,204.336
