35040,3,,,
Time,C:\Users\USER\Documents\temp_kaohsiung.csv,C:\Users\USER\Documents\humi_kaohsiung.csv,electricity
2015/1/1 00:00,16.6,74.0,301.536
2015/1/1 00:15,16.6,74.0,302.832
2015/1/1 00:30,16.6,74.0,299.376
2015/1/1 00:45,16.6,74.0,288.144
2015/1/1 01:00,16.5,73.0,288.144
2015/1/1 01:15,16.5,73.0,288.144
2015/1/1 01:30,16.5,73.0,281.232
2015/1/1 01:45,16.5,73.0,284.256
2015/1/1 02:00,16.3,72.0,284.688
2015/1/1 02:15,16.3,72.0,264.384
2015/1/1 02:30,16.3,72.0,262.656
2015/1/1 02:45,16.3,72.0,259.2
2015/1/1 03:00,16.0,73.0,257.04
2015/1/1 03:15,16.0,73.0,250.56
2015/1/1 03:30,16.0,73.0,244.512
2015/1/1 03:45,16.0,73.0,238.464
2015/1/1 04:00,15.8,72.0,235.872
2015/1/1 04:15,15.8,72.0,221.184
2015/1/1 04:30,15.8,72.0,219.456
2015/1/1 04:45,15.8,72.0,208.224
2015/1/1 05:00,15.7,73.0,211.68
2015/1/1 05:15,15.7,73.0,209.52
2015/1/1 05:30,15.7,73.0,210.816
2015/1/1 05:45,15.7,73.0,207.36
2015/1/1 06:00,15.7,72.0,200.88
2015/1/1 06:15,15.7,72.0,199.584
2015/1/1 06:30,15.7,72.0,220.752
2015/1/1 06:45,15.7,72.0,210.816
2015/1/1 07:00,17.0,69.0,209.52
2015/1/1 07:15,17.0,69.0,215.136
2015/1/1 07:30,17.0,69.0,239.76
2015/1/1 07:45,17.0,69.0,269.136
2015/1/1 08:00,18.9,67.0,308.016
2015/1/1 08:15,18.9,67.0,308.88
2015/1/1 08:30,18.9,67.0,298.512
2015/1/1 08:45,18.9,67.0,309.312
2015/1/1 09:00,19.6,64.0,352.944
2015/1/1 09:15,19.6,64.0,345.168
2015/1/1 09:30,19.6,64.0,330.048
2015/1/1 09:45,19.6,64.0,345.168
2015/1/1 10:00,21.9,60.0,359.424
2015/1/1 10:15,21.9,60.0,348.192
2015/1/1 10:30,21.9,60.0,323.136
2015/1/1 10:45,21.9,60.0,322.272
2015/1/1 11:00,22.5,60.0,335.664
2015/1/1 11:15,22.5,60.0,336.096
2015/1/1 11:30,22.5,60.0,323.136
2015/1/1 11:45,22.5,60.0,314.928
2015/1/1 12:00,21.9,62.0,342.144
2015/1/1 12:15,21.9,62.0,340.416
2015/1/1 12:30,21.9,62.0,335.664
2015/1/1 12:45,21.9,62.0,330.048
2015/1/1 13:00,21.6,64.0,347.76
2015/1/1 13:15,21.6,64.0,331.776
2015/1/1 13:30,21.6,64.0,334.8
2015/1/1 13:45,21.6,64.0,323.136
2015/1/1 14:00,21.3,63.0,339.552
2015/1/1 14:15,21.3,63.0,329.184
2015/1/1 14:30,21.3,63.0,320.544
2015/1/1 14:45,21.3,63.0,320.112
2015/1/1 15:00,20.7,63.0,336.096
