35040,3,,,
Time,C:\Users\USER\Documents\ind9of2_T_humi.csv,C:\Users\USER\Documents\ind9of2_T_temp.csv,electricity
2015/1/1 00:15,59.0,16.0,2049.7424
2015/1/1 00:30,59.0,16.0,2151.9382
2015/1/1 00:45,59.0,16.0,2176.7625
2015/1/1 01:00,60.0,15.5,1959.7227
2015/1/1 01:15,60.0,15.5,2086.7056
2015/1/1 01:30,60.0,15.5,1952.8132
2015/1/1 01:45,60.0,15.5,1919.7611
2015/1/1 02:00,59.0,15.3,1999.5848
2015/1/1 02:15,59.0,15.3,2024.9994
2015/1/1 02:30,59.0,15.3,1963.3844
2015/1/1 02:45,59.0,15.3,1940.0217
2015/1/1 03:00,60.0,14.8,1922.0898
2015/1/1 03:15,60.0,14.8,1874.9784
2015/1/1 03:30,60.0,14.8,1877.1874
2015/1/1 03:45,60.0,14.8,1993.5636
2015/1/1 04:00,60.0,14.4,1982.8787
2015/1/1 04:15,60.0,14.4,2027.2242
2015/1/1 04:30,60.0,14.4,2007.4434
2015/1/1 04:45,60.0,14.4,1982.3538
2015/1/1 05:00,60.0,13.9,2004.0632
2015/1/1 05:15,60.0,13.9,1917.0869
2015/1/1 05:30,60.0,13.9,1963.8015
2015/1/1 05:45,60.0,13.9,1980.0835
2015/1/1 06:00,60.0,13.8,2009.5242
2015/1/1 06:15,60.0,13.8,1749.3179
2015/1/1 06:30,60.0,13.8,1966.0918
2015/1/1 06:45,60.0,13.8,2027.8511
2015/1/1 07:00,59.0,14.0,2100.838
2015/1/1 07:15,59.0,14.0,2110.4485
2015/1/1 07:30,59.0,14.0,2129.821
2015/1/1 07:45,59.0,14.0,2025.5532
2015/1/1 08:00,57.0,14.0,2167.289
2015/1/1 08:15,57.0,14.0,1952.326
2015/1/1 08:30,57.0,14.0,1839.4934
2015/1/1 08:45,57.0,14.0,1820.0553
2015/1/1 09:00,53.0,14.8,1757.2465
2015/1/1 09:15,53.0,14.8,1709.8562
2015/1/1 09:30,53.0,14.8,1860.012
2015/1/1 09:45,53.0,14.8,1985.3927
2015/1/1 10:00,51.0,14.4,1833.1586
2015/1/1 10:15,51.0,14.4,1727.5692
2015/1/1 10:30,51.0,14.4,1777.6313
2015/1/1 10:45,51.0,14.4,1983.4492
2015/1/1 11:00,51.0,14.3,1900.1632
2015/1/1 11:15,51.0,14.3,1791.3936
2015/1/1 11:30,51.0,14.3,1938.7233
2015/1/1 11:45,51.0,14.3,1806.5795
2015/1/1 12:00,51.0,14.2,1892.0919
2015/1/1 12:15,51.0,14.2,1654.5281
2015/1/1 12:30,51.0,14.2,1985.368
2015/1/1 12:45,51.0,14.2,1855.8335
2015/1/1 13:00,49.0,14.5,1696.0416
2015/1/1 13:15,49.0,14.5,1777.9579
2015/1/1 13:30,49.0,14.5,1856.6917
2015/1/1 13:45,49.0,14.5,1890.8702
2015/1/1 14:00,52.0,13.4,1830.5962
2015/1/1 14:15,52.0,13.4,2036.0466
2015/1/1 14:30,52.0,13.4,1951.3918
2015/1/1 14:45,52.0,13.4,1817.922
2015/1/1 15:00,54.0,12.8,1864.2891
2015/1/1 15:15,54.0,12.8,1877.6616
2015/1/1 15:30,54.0,12.8,1935.6521
2015/1/1 15:45,54.0,12.8,1842.1326
2015/1/1 16:00,53.0,12.6,1818.3969
2015/1/1 16:15,53.0,12.6,1903.9734
2015/1/1 16:30,53.0,12.6,1765.5107
2015/1/1 16:45,53.0,12.6,1703.4913
2015/1/1 17:00,56.0,12.4,1930.5575
2015/1/1 17:15,56.0,12.4,1934.6173
2015/1/1 17:30,56.0,12.4,1994.1283
2015/1/1 17:45,56.0,12.4,1988.9657
2015/1/1 18:00,55.0,12.3,1802.5487
2015/1/1 18:15,55.0,12.3,1881.1785
2015/1/1 18:30,55.0,12.3,1936.3292
2015/1/1 18:45,55.0,12.3,1940.7815
2015/1/1 19:00,57.0,12.3,1682.7756
2015/1/1 19:15,57.0,12.3,1839.8911
2015/1/1 19:30,57.0,12.3,1924.7747
2015/1/1 19:45,57.0,12.3,1759.2087
2015/1/1 20:00,58.0,12.4,1937.5525
2015/1/1 20:15,58.0,12.4,2034.9673
2015/1/1 20:30,58.0,12.4,1934.1663
2015/1/1 20:45,58.0,12.4,1932.1282
2015/1/1 21:00,57.0,12.6,1971.4156
2015/1/1 21:15,57.0,12.6,1889.5424
2015/1/1 21:30,57.0,12.6,1898.9144
