35040,3,,,
Time,C:\Users\USER\Documents\AMI\ind5of5_K_humi.csv,C:\Users\USER\Documents\AMI\ind5of5_K_temp.csv,electricity
2015/1/1 00:15,74.0,16.6,384.30646
2015/1/1 00:30,74.0,16.6,381.29895
2015/1/1 00:45,74.0,16.6,379.532
2015/1/1 01:00,73.0,16.5,378.70105
2015/1/1 01:15,73.0,16.5,374.08774
2015/1/1 01:30,73.0,16.5,371.79977
2015/1/1 01:45,73.0,16.5,370.43207
2015/1/1 02:00,72.0,16.3,368.65344
2015/1/1 02:15,72.0,16.3,364.22864
2015/1/1 02:30,72.0,16.3,357.99292
2015/1/1 02:45,72.0,16.3,356.86386
2015/1/1 03:00,73.0,16.0,355.76694
2015/1/1 03:15,73.0,16.0,353.64883
2015/1/1 03:30,73.0,16.0,352.6345
2015/1/1 03:45,73.0,16.0,350.36
2015/1/1 04:00,72.0,15.8,349.49927
2015/1/1 04:15,72.0,15.8,348.61478
2015/1/1 04:30,72.0,15.8,348.63406
2015/1/1 04:45,72.0,15.8,343.6042
2015/1/1 05:00,73.0,15.7,341.60126
2015/1/1 05:15,73.0,15.7,343.17877
2015/1/1 05:30,73.0,15.7,340.61133
2015/1/1 05:45,73.0,15.7,335.61487
2015/1/1 06:00,72.0,15.7,335.75687
2015/1/1 06:15,72.0,15.7,338.09604
2015/1/1 06:30,72.0,15.7,338.83963
2015/1/1 06:45,72.0,15.7,344.0047
2015/1/1 07:00,69.0,17.0,343.93173
2015/1/1 07:15,69.0,17.0,350.7836
2015/1/1 07:30,69.0,17.0,351.25598
2015/1/1 07:45,69.0,17.0,356.68784
2015/1/1 08:00,67.0,18.9,361.54715
2015/1/1 08:15,67.0,18.9,371.20947
2015/1/1 08:30,67.0,18.9,372.09073
2015/1/1 08:45,67.0,18.9,375.0775
2015/1/1 09:00,64.0,19.6,380.0729
2015/1/1 09:15,64.0,19.6,387.8482
2015/1/1 09:30,64.0,19.6,388.20703
2015/1/1 09:45,64.0,19.6,388.81763
2015/1/1 10:00,60.0,21.9,392.4216
2015/1/1 10:15,60.0,21.9,397.07953
2015/1/1 10:30,60.0,21.9,398.2518
2015/1/1 10:45,60.0,21.9,399.12555
2015/1/1 11:00,60.0,22.5,401.09772
2015/1/1 11:15,60.0,22.5,405.864
2015/1/1 11:30,60.0,22.5,405.3262
2015/1/1 11:45,60.0,22.5,408.3407
2015/1/1 12:00,62.0,21.9,409.8089
2015/1/1 12:15,62.0,21.9,410.7929
2015/1/1 12:30,62.0,21.9,411.09296
2015/1/1 12:45,62.0,21.9,411.69482
2015/1/1 13:00,64.0,21.6,412.55417
2015/1/1 13:15,64.0,21.6,414.1386
2015/1/1 13:30,64.0,21.6,414.04623
2015/1/1 13:45,64.0,21.6,418.84488
2015/1/1 14:00,63.0,21.3,416.20148
2015/1/1 14:15,63.0,21.3,414.47147
2015/1/1 14:30,63.0,21.3,412.69943
2015/1/1 14:45,63.0,21.3,409.93683
2015/1/1 15:00,63.0,20.7,409.77237
2015/1/1 15:15,63.0,20.7,410.23022
2015/1/1 15:30,63.0,20.7,409.04752
2015/1/1 15:45,63.0,20.7,409.71194
2015/1/1 16:00,62.0,20.7,408.1011
2015/1/1 16:15,62.0,20.7,407.45737
2015/1/1 16:30,62.0,20.7,404.81253
2015/1/1 16:45,62.0,20.7,404.09967
2015/1/1 17:00,63.0,20.5,406.07715
2015/1/1 17:15,63.0,20.5,410.30005
2015/1/1 17:30,63.0,20.5,409.63577
2015/1/1 17:45,63.0,20.5,412.87808
2015/1/1 18:00,56.0,19.1,408.58698
2015/1/1 18:15,56.0,19.1,408.0825
2015/1/1 18:30,56.0,19.1,405.7508
2015/1/1 18:45,56.0,19.1,405.42212
2015/1/1 19:00,55.0,18.5,404.1399
2015/1/1 19:15,55.0,18.5,404.17456
2015/1/1 19:30,55.0,18.5,401.963
2015/1/1 19:45,55.0,18.5,401.87048
2015/1/1 20:00,55.0,17.9,398.69757
2015/1/1 20:15,55.0,17.9,399.1663
2015/1/1 20:30,55.0,17.9,398.0591
2015/1/1 20:45,55.0,17.9,396.39862
2015/1/1 21:00,58.0,17.3,395.2681
2015/1/1 21:15,58.0,17.3,388.58444
2015/1/1 21:30,58.0,17.3,385.84964
2015/1/1 21:45,58.0,17.3,381.55814
2015/1/1 22:00,58.0,16.6,377.11423
2015/1/1 22:15,58.0,16.6,371.5608
2015/1/1 22:30,58.0,16.6,365.65375
2015/1/1 22:45,58.0,16.6,360.31345
2015/1/1 23:00,58.0,16.4,355.93604
2015/1/1 23:15,58.0,16.4,350.3012
2015/1/1 23:30,58.0,16.4,347.94058
2015/1/1 23:45,58.0,16.4,344.84946
2015/1/2 00:00,57.0,16.1,343.99704
2015/1/2 00:15,57.0,16.1,341.0176
2015/1/2 00:30,57.0,16.1,339.0728
2015/1/2 00:45,57.0,16.1,337.94427
2015/1/2 01:00,60.0,16.1,337.54465
2015/1/2 01:15,60.0,16.1,333.58435
2015/1/2 01:30,60.0,16.1,332.95868
2015/1/2 01:45,60.0,16.1,333.60498
2015/1/2 02:00,63.0,16.0,332.0937
2015/1/2 02:15,63.0,16.0,331.1756
2015/1/2 02:30,63.0,16.0,330.1517
2015/1/2 02:45,63.0,16.0,330.85803
2015/1/2 03:00,61.0,15.5,330.0454
2015/1/2 03:15,61.0,15.5,327.6957
2015/1/2 03:30,61.0,15.5,328.28488
2015/1/2 03:45,61.0,15.5,328.25555
2015/1/2 04:00,65.0,15.1,327.15222
2015/1/2 04:15,65.0,15.1,327.72028
2015/1/2 04:30,65.0,15.1,327.4431
2015/1/2 04:45,65.0,15.1,327.52307
2015/1/2 05:00,65.0,15.0,326.60565
2015/1/2 05:15,65.0,15.0,328.2557
2015/1/2 05:30,65.0,15.0,327.8834
2015/1/2 05:45,65.0,15.0,328.93143
2015/1/2 06:00,66.0,14.4,329.15808
2015/1/2 06:15,66.0,14.4,334.17978
2015/1/2 06:30,66.0,14.4,334.98523
2015/1/2 06:45,66.0,14.4,339.70227
2015/1/2 07:00,63.0,15.8,339.85324
2015/1/2 07:15,63.0,15.8,344.47345
2015/1/2 07:30,63.0,15.8,347.19397
2015/1/2 07:45,63.0,15.8,354.43768
2015/1/2 08:00,66.0,17.7,358.7616
2015/1/2 08:15,66.0,17.7,369.5145
2015/1/2 08:30,66.0,17.7,372.97217
2015/1/2 08:45,66.0,17.7,374.03387
2015/1/2 09:00,66.0,19.1,378.0871
2015/1/2 09:15,66.0,19.1,388.05566
2015/1/2 09:30,66.0,19.1,388.3761
2015/1/2 09:45,66.0,19.1,391.33746
2015/1/2 10:00,68.0,19.3,395.35852
2015/1/2 10:15,68.0,19.3,402.3624
2015/1/2 10:30,68.0,19.3,405.0538
2015/1/2 10:45,68.0,19.3,404.06973
2015/1/2 11:00,66.0,20.5,406.82462
2015/1/2 11:15,66.0,20.5,410.69788
2015/1/2 11:30,66.0,20.5,409.5153
2015/1/2 11:45,66.0,20.5,412.3449
2015/1/2 12:00,65.0,20.9,413.63147
2015/1/2 12:15,65.0,20.9,418.32343
2015/1/2 12:30,65.0,20.9,416.5685
2015/1/2 12:45,65.0,20.9,415.42657
2015/1/2 13:00,65.0,20.4,416.14975
2015/1/2 13:15,65.0,20.4,417.3821
2015/1/2 13:30,65.0,20.4,417.6988
2015/1/2 13:45,65.0,20.4,421.30423
2015/1/2 14:00,63.0,20.3,419.49295
2015/1/2 14:15,63.0,20.3,420.79105
2015/1/2 14:30,63.0,20.3,418.02692
2015/1/2 14:45,63.0,20.3,418.06525
2015/1/2 15:00,63.0,20.1,417.3302
2015/1/2 15:15,63.0,20.1,416.81747
2015/1/2 15:30,63.0,20.1,417.2211
2015/1/2 15:45,63.0,20.1,415.22894
2015/1/2 16:00,63.0,19.5,414.2288
2015/1/2 16:15,63.0,19.5,414.5698
2015/1/2 16:30,63.0,19.5,412.7092
2015/1/2 16:45,63.0,19.5,412.7376
2015/1/2 17:00,65.0,19.3,413.01205
2015/1/2 17:15,65.0,19.3,414.73566
2015/1/2 17:30,65.0,19.3,410.4809
2015/1/2 17:45,65.0,19.3,415.42636
2015/1/2 18:00,65.0,19.3,412.18582
2015/1/2 18:15,65.0,19.3,409.56012
2015/1/2 18:30,65.0,19.3,408.55084
2015/1/2 18:45,65.0,19.3,405.99777
2015/1/2 19:00,65.0,19.3,403.84412
2015/1/2 19:15,65.0,19.3,403.77292
2015/1/2 19:30,65.0,19.3,403.86755
2015/1/2 19:45,65.0,19.3,402.13068
2015/1/2 20:00,66.0,19.0,400.31052
2015/1/2 20:15,66.0,19.0,399.59274
2015/1/2 20:30,66.0,19.0,400.99054
2015/1/2 20:45,66.0,19.0,401.70047
2015/1/2 21:00,63.0,18.4,397.61298
2015/1/2 21:15,63.0,18.4,394.70105
2015/1/2 21:30,63.0,18.4,393.23068
2015/1/2 21:45,63.0,18.4,388.52142
2015/1/2 22:00,63.0,18.0,385.69925
